,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74
100206,0.021712692,-0.070380494,-0.17266993,1.4355873,0.68898505,-1.7159578,0.78156763,0.15316866,1.1413517,-1.0911584,2.0835989,0.43992358,2.2738934,0.38983378,1.2921163,0.3050601,-0.665257,-1.0454699,-1.3651884,-0.531822,0.16773918,0.67505264,1.9370302,-0.60638756,1.9339633,1.7899173,1.1560216,-0.05071296,-0.36733,-0.5120632,0.1384976,0.37761536,1.9252228,0.21184988,0.15972282,0.5054311,-0.6948673,-1.4934022,0.3432251,-0.24112852,-0.14191693,0.74480456,0.119749755,1.3992279,0.014472225,-0.46686244,-0.8442075,1.0724261,-0.31083512,0.14906555,0.23577859,-0.33959725,0.2619839,-0.23397407,0.8189223,-0.28830057,1.5712422,1.128863,0.6691442,-0.11451223,0.5237538,-0.18722668,-1.207677,-0.27669898,0.56316745,0.16132775,-0.87257653,-0.75510466,0.5655043,1.273429,0.15446247,-0.52723616,0.6153415,-0.040685736,1.2028595
100307,0.76103926,0.2505683,0.51862764,0.45751384,1.9979229,0.5210354,-1.0875697,-1.9264352,-0.19672644,-0.37616697,0.26305544,-0.3174259,1.6132042,0.19998324,-1.4749225,0.046570417,0.27887794,-0.6739099,-0.64158434,-1.1572095,1.071475,0.670102,0.061245997,1.0317324,0.7919631,0.3359796,2.0936015,0.11293434,0.80461836,0.4728723,-1.7166922,0.11807121,1.3381301,-0.7532022,-0.23533651,-0.5424879,-0.3912052,-1.174223,0.9153023,-1.4139522,-0.07037809,0.7669405,-0.4131003,-0.26025328,0.7485171,-0.1809779,0.02063835,0.6011176,0.4418319,-0.9432179,-1.4343206,0.087758265,2.0668414,-0.80638754,-0.08993761,-0.5810699,-0.21366476,1.9691306,-0.9966602,0.7087762,-0.41486996,0.15210132,1.2441021,1.3943481,1.7003531,-2.2732263,1.7648184,-0.07841978,0.7738179,-0.23286843,0.35934782,-0.8910743,0.12076824,-0.012978038,0.44041565
100408,-1.0901493,0.84945524,2.12024,0.14379673,1.5457453,-1.1588969,-0.3196981,0.4023531,-0.9252325,-0.23854978,-0.88749504,0.69023544,1.0256314,0.992158,-2.8349385,-1.1848818,-0.9171906,-1.3225635,1.152529,-0.76829004,-0.43677294,-0.15768355,-0.7955811,-1.3900715,-0.5206065,1.3200829,0.78582746,-1.048626,0.28382176,0.10637108,0.18082364,-1.2874744,-0.3424856,-1.2878182,1.398114,-0.4427598,-0.11214709,0.4273679,-1.7077539,-0.40692338,1.4621785,1.3938315,-0.44703114,-0.90136117,0.23928268,-0.91399634,-0.94841164,-0.06031987,0.7181915,-0.24918623,0.7249061,-0.26369315,1.067986,0.0766464,-0.59427357,-0.37962127,0.20551279,-2.1011276,-1.9018017,0.195415,1.8144635,0.84204966,0.49358547,-0.30742082,-0.5088553,1.3158331,0.56993574,1.1286763,2.3020666,-0.46687,0.6185795,0.81831825,0.18180445,-1.6355698,-0.9225206
100610,0.8941239,-0.027600497,0.87404734,-0.33526775,1.9644352,0.8133656,-0.5796116,-1.5605575,-0.4798605,-0.9980501,0.41668147,2.4906015,0.5724557,2.2216456,-2.3866,0.009857323,0.34160423,-0.27717802,0.532371,0.4458365,-0.035122123,-0.97311103,0.68334824,-0.30777195,-0.91531146,-1.2838799,1.7797005,1.5422705,1.26558,-0.11220404,-1.1057754,0.12300641,1.4506191,1.4890996,0.76652175,0.14749375,0.6024129,-0.021578655,0.31541568,-0.9882015,0.16632596,-0.11378079,0.6751278,-0.88197356,-0.9279308,0.48887828,-0.10229834,0.49447286,0.56229705,0.16646445,0.8513952,-0.8407496,0.9932428,0.96258795,-0.7060905,-0.8440067,0.5230846,-1.1364468,-0.9331904,1.0945241,-0.90582204,0.53660995,0.20778096,0.09097991,-0.54648983,-0.69475037,-0.73762816,-0.26637694,1.800463,-0.89629436,-0.87919044,-0.29526857,-0.5691423,0.20182373,0.33821642
101006,0.9613007,0.115972474,0.011893678,0.34452087,2.190319,0.6120325,-1.3856053,2.0882366,-0.11722775,0.5627882,-0.43684906,-0.7759149,2.5573142,-0.64245975,0.627867,-0.68464255,1.7959596,-0.25115767,-0.5178643,-0.35428944,1.2303964,0.9530822,1.9723811,-0.64233774,-0.2871561,-0.41615656,1.2049267,-1.819928,2.1833,-0.16366585,-0.2748372,0.15894593,0.90337056,0.9802042,-0.9929823,0.879543,1.5750344,0.30041996,-0.09170431,-0.27203277,1.7778525,0.3751895,-0.21502179,-1.45722,0.30478436,-0.29914868,0.5642721,1.9868405,1.8965898,-0.8099887,-0.53714097,-1.4670051,2.0835474,-1.6556617,0.4015601,-1.3008357,1.0991927,-0.34683484,1.9420897,-0.20122878,1.5224518,1.4577771,1.0559036,-0.29467833,0.19075334,-0.29586092,-0.41751495,1.0874366,-1.1220379,-1.4451914,-0.23391882,-1.0267216,1.6547881,0.92533475,0.7698709
101107,0.057552613,-0.12068649,0.36676058,-1.3878201,0.5044504,1.9560179,-1.8120056,0.104321785,-1.3669033,0.72984546,0.3656391,1.268692,-1.394587,-0.47893542,-1.2718742,-1.020537,-0.053200092,0.3837452,-0.935222,0.33145344,0.9948063,0.4039155,-0.21051759,-1.2118363,0.37241414,-0.07670086,0.38297355,0.012002473,2.774524,-0.808618,-0.6283648,0.88553977,0.874834,0.3112846,-0.17842606,1.0433708,1.1416459,-1.3693675,-0.86102873,-1.0236868,-1.0781666,-1.2825094,0.8210913,-1.5956544,0.2285468,0.42054895,-0.09762741,-1.8250461,-0.789934,-0.43073976,-0.71541804,0.70682967,2.3082407,0.33778754,-0.7240749,-1.1752149,-1.7400322,-0.13102297,0.42552,0.41896567,-0.68377876,0.17876819,0.12750295,0.58397764,-1.5512516,1.5143898,1.1352048,-1.2865431,1.1931872,-0.06359345,0.29850554,-0.042601623,0.4389464,-1.104213,-0.19640496
101309,-0.20383929,0.620065,1.0791065,1.1780277,0.3401856,0.2476457,0.70520526,-0.7599379,1.5561532,-0.32972392,-0.14594938,0.49623173,0.25208318,-0.33014962,1.5366701,0.063132435,-0.46696806,0.596504,0.4869742,-0.608595,0.43239582,-0.12071982,-0.6640898,-0.92687243,-0.40621272,0.69835424,0.92064875,-1.6527982,-0.029750265,-1.2648029,-0.16299398,0.108997904,-0.096746705,0.71483576,-1.5306419,-0.85347503,-0.12657778,-0.8360259,-1.1301888,0.9297304,0.79219276,0.021415738,0.40898234,-0.58191216,-0.3940367,-0.24740882,1.2148278,1.1497923,-0.08452495,-0.037723534,-0.887919,-0.3241476,-0.9916168,0.85273576,-0.9040743,-1.1339515,-0.45524025,1.0429288,0.40989017,1.0479531,0.2466962,-0.5053087,-1.6538875,-1.148384,-1.1955584,1.0880748,-0.35912183,0.17532566,0.26287013,1.208408,1.2339092,-1.3834498,-0.106533445,-0.025333187,0.1691951
101410,-0.7487129,0.9827757,0.36174625,-0.5306887,-0.6338442,0.8886415,1.3373628,0.024509184,0.28790712,0.7221484,-1.3380159,1.1436263,-0.9982185,1.6364936,-0.19880924,0.98293066,-1.3631201,0.6521947,0.42902485,-0.20138252,0.46914786,-0.13324066,0.61101484,-0.05888881,0.6927439,0.6226594,-0.3255862,-0.42482993,-0.63030964,-0.5828686,-0.3105531,1.4543011,1.0259658,-0.31486273,-0.55026144,-1.2375623,-0.36652818,-0.14078923,0.62241006,-1.5286947,-0.3620138,-1.1287657,1.9444155,-1.0969458,1.3356113,-0.89553374,-1.0772382,1.5096501,0.67599475,-0.0978911,1.6302375,-0.84376377,-0.10605308,0.2547464,-0.63964075,-0.16884588,0.037996344,1.3288369,0.099874936,0.8676985,0.4277649,-0.5323586,-0.073411934,-0.15619192,-0.5189189,0.7473825,0.5473222,1.6059333,0.12852572,0.7352173,-0.7717981,-0.21485707,0.55046684,0.4422018,-0.023436965
101915,0.13158767,0.68698597,0.29293534,1.415889,0.36347145,0.22807732,-0.941353,-0.3335163,0.62189364,-0.4820329,-0.22063284,1.2198756,-1.0848091,-0.98086727,0.14891435,1.1269811,-1.1246076,0.08209141,0.3021601,-0.009472075,2.5656955,-0.07011296,1.3890489,1.0635016,-0.29065496,1.0408139,-0.20523013,-0.44524845,1.0056127,0.6347607,-0.6466016,0.32607374,0.45099002,0.45247188,0.42272702,0.9000784,-1.1300421,0.6318203,-2.1285586,0.86466014,-1.2835686,1.9033872,-0.9517642,-1.0664222,-0.3195394,0.77131504,-0.5817829,-1.440214,0.70327085,0.9912879,0.048543267,-0.04824192,1.5181038,-0.37645647,-0.55311936,1.3636153,0.7873056,-1.0694553,-1.148681,0.5117717,0.90385914,-0.69649345,1.4271486,0.614653,-0.5281642,-1.6023636,-2.477581,-0.23522443,-1.9254065,-0.88398945,-1.1487852,-1.4414104,0.26022515,-0.74678355,-0.57704556
102008,-0.83548456,0.69247824,2.4957008,0.9033423,-0.021890823,-0.45871025,0.09737956,0.7361239,0.42651588,-0.39378095,-0.11157835,1.5853956,-0.16926815,-0.34829745,-0.6088917,-0.41369262,0.27967367,-0.31309724,-0.32799968,-0.20566116,-1.5160505,-0.96339774,0.2910401,-1.6552337,1.6628393,-0.29019395,-0.9633933,-1.998493,0.2598621,-1.0170441,-0.021100074,0.910599,-1.5988742,-1.1086148,-0.14041102,-0.28157192,-0.5319611,-0.32354462,-1.4697793,-1.8362665,0.16004324,0.31531492,-0.065595135,-1.6319631,0.45439172,-0.75249755,-0.96636516,-0.4725975,0.28783244,-0.62327117,-1.078068,-1.356887,-1.1479534,-1.1864748,-0.07560998,-1.3731024,-0.014846451,-0.07745211,-0.74149567,-1.8499427,0.8381129,-0.30837148,1.5820465,-0.08972431,-0.6250384,-0.5536229,0.056661278,-0.32933208,0.076543525,-1.3097835,-0.97593015,1.2810637,-0.033606976,-1.6126553,-0.21897471
